,20180424_BZ14_control_0,20180424_BZ14_control_1,20180424_BZ14_control_2,20180424_BZ14_control_3,20180424_BZ14_control_4,20180424_BZ14_control_5,20180424_BZ14_control_6,20180424_BZ14_control_7,20180424_BZ14_control_8,20180424_BZ14_control_9
47x2553,1,1,1,2,1,2,1,1,1,2
69x6221,1,1,2,2,8,9,1,2,7,2
84x2248,1,1,1,2,2,2,1,1,1,2
117x54,1,9,9,2,7,9,1,1,7,8
157x3715,1,1,1,2,2,2,1,1,1,2
112x161,1,9,9,2,7,9,1,1,7,8
108x274,1,9,9,2,7,9,1,1,7,8
150x2720,1,1,1,2,1,2,1,1,1,2
184x507,1,9,9,2,7,9,1,1,7,8
209x4104,1,1,1,2,2,2,1,1,1,2
225x3964,1,1,1,2,2,2,1,1,1,2
327x4330,1,1,1,2,2,2,1,1,1,2
278x3599,1,1,1,2,2,2,1,1,1,2
374x5376,1,1,2,2,2,2,1,1,1,2
411x5024,1,1,2,2,2,2,1,1,1,2
437x5249,1,1,2,2,2,2,1,1,1,2
431x4591,1,1,1,2,2,2,1,1,1,2
455x2706,1,1,1,2,1,2,1,1,1,2
561x138,2,5,3,3,3,3,2,3,2,3
538x5785,1,1,1,2,1,2,1,1,1,2
530x2833,1,1,1,2,2,2,1,1,1,2
539x2954,1,1,1,2,2,2,1,1,1,2
587x1839,5,2,2,2,2,2,1,2,1,3
606x6172,1,1,1,2,1,2,1,1,1,2
622x6005,1,1,1,2,1,2,1,1,1,2
621x686,2,2,3,3,3,3,2,3,2,3
608x6495,1,1,2,2,2,2,1,1,1,2
675x2050,5,2,2,2,2,2,2,2,2,3
718x5878,1,1,1,2,1,2,1,1,1,2
682x3065,1,1,1,2,2,2,1,1,1,2
683x6467,1,1,2,2,2,2,1,1,1,2
662x445,2,2,3,3,3,3,2,3,2,3
691x2692,1,1,1,2,2,2,1,1,1,2
683x340,2,5,3,3,3,3,2,3,2,3
678x3620,1,1,2,2,1,2,1,1,1,1
754x144,2,5,3,3,3,3,2,3,2,3
792x1030,2,2,3,3,3,3,2,3,2,3
806x1748,2,2,3,2,2,2,2,2,2,3
809x742,2,2,3,3,3,3,2,3,2,3
840x3681,1,1,2,2,1,2,1,1,1,1
878x4498,1,1,2,2,2,2,1,1,1,2
956x674,2,2,3,3,3,3,2,3,2,3
942x433,2,2,3,3,3,3,2,3,2,3
952x2048,2,2,3,2,2,2,2,2,2,3
977x1702,2,2,3,3,3,3,2,3,2,3
1061x2466,1,1,7,2,2,2,2,2,2,5
1002x133,2,5,3,3,3,3,4,3,2,3
1088x1005,2,2,7,3,3,3,2,3,2,3
1129x1221,2,2,7,3,3,3,2,5,2,3
1097x2692,1,1,2,2,2,2,12,2,1,2
1154x5139,1,1,2,2,2,2,1,1,1,2
1138x597,2,2,3,3,3,3,2,3,2,3
